,country,Life Satisfaction,Life Satisfaction latest year,Log GDP per capita,Log GDP per capita latest year,Social support,Social support latest year,Healthy life expectancy at birth,Healthy life expectancy at birth latest year,Positive Affect: % of time spent happy,Positive Affect: % of time spent happy latest year,Negative Affect: % of time feeling negative emotions,Negative Affect: % of time feeling negative emotions latest year,Confidence in national government,Confidence in national government latest year,Gini Index: Income Inequality,Gini Index: Income Inequality latest year
102,Nicaragua,5.81895256,2018.0,8.614512443999999,2018.0,0.8542765379999999,2018.0,67.5,2018.0,0.7926493290000001,2018.0,0.408349842,2018.0,0.343466878,2018.0,0.4795,2018.0
103,Niger,5.164007187,2018.0,6.844517708,2018.0,0.612025678,2018.0,53.5,2018.0,0.770557642,2018.0,0.502554536,2018.0,0.7479238509999999,2018.0,0.36875,2018.0
104,Nigeria,5.252288342,2018.0,8.577632904,2018.0,0.740854204,2018.0,49.70000076,2018.0,0.80526185,2018.0,0.25646987600000004,2018.0,0.45174095,2018.0,0.4155,2018.0
105,Northern Cyprus,5.608056068,2018.0,,2018.0,0.8373917940000001,2018.0,,2018.0,0.48045310399999996,2018.0,0.261867821,2018.0,0.37832364399999996,2018.0,,2018.0
106,Norway,7.444262028,2018.0,11.08562565,2018.0,0.965961933,2018.0,73.19999695,2018.0,0.827414036,2018.0,0.21186237,2018.0,0.6795029640000001,2018.0,0.272230769,2018.0
107,Oman,6.852982044,2011.0,10.64831161,2011.0,,2011.0,65.5,2011.0,,2011.0,0.295164108,2011.0,,2011.0,,2011.0
108,Pakistan,5.471553802000001,2018.0,8.561663628,2018.0,0.6850594879999999,2018.0,58.5,2018.0,0.567294776,2018.0,0.376706064,2018.0,0.58938849,2018.0,0.315125,2018.0
109,Palestine,4.5539217,2018.0,,2018.0,0.8194792870000001,2018.0,,2018.0,0.610405445,2018.0,0.41892853399999996,2018.0,0.39237338299999996,2018.0,,2018.0
110,Panama,6.2814340589999995,2018.0,10.049730300000002,2018.0,0.904389799,2018.0,69.59999847,2018.0,0.8835805059999999,2018.0,0.22259874600000001,2018.0,0.277477711,2018.0,0.532647059,2018.0
111,Paraguay,5.71329546,2017.0,9.085571288999999,2017.0,0.902042508,2017.0,65.5,2017.0,0.902772129,2017.0,0.231783673,2017.0,0.381784081,2017.0,0.5133125,2017.0
112,Peru,5.679661274,2018.0,9.434348106,2018.0,0.84530139,2018.0,68.09999847,2018.0,0.808621466,2018.0,0.38003286700000005,2018.0,0.202403098,2018.0,0.479647059,2018.0
113,Philippines,5.869172572999999,2018.0,8.985702515,2018.0,0.8458032609999999,2018.0,61.90000153,2018.0,0.772846103,2018.0,0.39348107600000004,2018.0,0.8020071390000001,2018.0,,2018.0
114,Poland,6.201268196,2017.0,10.21157646,2017.0,0.881854117,2017.0,68.90000153,2017.0,0.677435517,2017.0,0.20338779699999998,2017.0,0.502480447,2017.0,,2017.0
115,Portugal,5.9198226929999995,2018.0,10.26201248,2018.0,0.887113273,2018.0,72.40000153,2018.0,0.679104149,2018.0,0.317994744,2018.0,0.520630658,2018.0,0.367538462,2018.0
116,Qatar,6.3745293620000005,2015.0,11.693157199999998,2015.0,,2015.0,68.30000305,2015.0,,2015.0,,2015.0,,2015.0,,2015.0
117,Romania,6.150878906,2018.0,10.11209297,2018.0,0.81793046,2018.0,67.19999695,2018.0,0.7353425029999999,2018.0,0.298453927,2018.0,0.226351306,2018.0,0.3658,2018.0
118,Russia,5.513500214,2018.0,10.13239002,2018.0,0.908726096,2018.0,64.30000305,2018.0,0.6733462809999999,2018.0,0.19879630199999998,2018.0,0.45583874,2018.0,0.3975,2018.0
119,Rwanda,3.5610466,2018.0,7.567531109,2018.0,0.616172731,2018.0,61.09999847,2018.0,0.793367624,2018.0,0.308199167,2018.0,0.9881204370000001,2018.0,0.48200000000000004,2018.0
120,Saudi Arabia,6.356393337,2018.0,10.79797173,2018.0,0.867848396,2018.0,66.30000305,2018.0,0.764405489,2018.0,0.288379908,2018.0,,2018.0,,2018.0
121,Senegal,4.769377232,2018.0,7.850693702999999,2018.0,0.7393547890000001,2018.0,59.59999847,2018.0,0.713894129,2018.0,0.247074723,2018.0,0.588927925,2018.0,0.40233333299999996,2018.0
122,Republic of Serbia,5.9364933970000004,2018.0,9.584803581000001,2018.0,0.852945328,2018.0,68.19999695,2018.0,0.558940828,2018.0,0.296295851,2018.0,0.47614499899999996,2018.0,,2018.0
123,Sierra Leone,4.305683136,2018.0,7.26616621,2018.0,0.649638355,2018.0,50.79999924,2018.0,0.551628053,2018.0,0.46626666200000005,2018.0,0.7797262070000001,2018.0,0.371,2018.0
